"","X1","X1_2","X1_1","stn_name","stn_lat","stn_lon","line"
"1",1,1,1,"Baker Street",51.522883,-0.15713,"bakerloo"
"2",2,2,2,"Embankment",51.507058,-0.122666,"bakerloo"
"3",3,3,3,"Edgware Road",51.520299,-0.17015,"bakerloo"
"4",4,4,4,"Kilburn Park",51.534979,-0.194232,"bakerloo"
"5",5,5,5,"Lambeth North",51.498808,-0.112315,"bakerloo"
"6",6,6,6,"Maida Vale",51.529777,-0.185758,"bakerloo"
"7",7,7,7,"Oxford Circus",51.515224,-0.141903,"bakerloo"
"8",8,8,8,"Piccadilly Circus",51.51005,-0.133798,"bakerloo"
"9",9,9,9,"Regent's Park",51.523344,-0.146444,"bakerloo"
"10",10,10,10,"Warwick Avenue",51.523263,-0.183783,"bakerloo"
"11",11,11,11,"Charing Cross",51.507819,-0.126137,"bakerloo"
"12",12,12,12,"Elephant & Castle",51.494505,-0.099185,"bakerloo"
"13",13,13,13,"Harlesden",51.536305,-0.257774,"bakerloo"
"14",14,14,14,"Harrow & Wealdstone",51.592216,-0.334896,"bakerloo"
"15",15,15,15,"Kensal Green",51.530545,-0.22505,"bakerloo"
"16",16,16,16,"Kenton",51.581786,-0.316946,"bakerloo"
"17",17,17,17,"Marylebone",51.521602,-0.163013,"bakerloo"
"18",18,18,18,"North Wembley",51.56258,-0.303992,"bakerloo"
"19",19,19,19,"Paddington",51.516981,-0.17616,"bakerloo"
"20",20,20,20,"Queen's Park",51.534443,-0.204882,"bakerloo"
"21",21,21,21,"Stonebridge Park",51.544041,-0.275859,"bakerloo"
"22",22,22,22,"South Kenton",51.570229,-0.308448,"bakerloo"
"23",23,23,23,"Waterloo",51.504269,-0.113356,"bakerloo"
"24",24,24,24,"Willesden Junction",51.532556,-0.243006,"bakerloo"
"25",25,25,25,"Wembley Central",51.55232,-0.296642,"bakerloo"
