"","...1","crime_id","month","reported_by","falls_within","longitude","latitude","location","lsoa_code","lsoa_name","crime_type","last_outcome_category","context"
"1",56,"1c0c2f22c9b0f5390c5bbc346f7f064825288416abed86728f722327ae386825","2019-05","Merseyside Police","Merseyside Police",-2.878518,53.498496,"On or near Colmoor Close","E01006493","Knowsley 001C","Shoplifting","Unable to prosecute suspect",NA
"2",57,"46e51047706ac71aecf51ca6dd8981d69cb11777ce920061904bfeb43a9bbbd9","2019-05","Merseyside Police","Merseyside Police",-2.878518,53.498496,"On or near Colmoor Close","E01006493","Knowsley 001C","Shoplifting","Investigation complete; no suspect identified",NA
"3",116,"8c2caf34d4d250dc55b330d07a647415cde66c88b281ed69b3eb7fe79a80317f","2019-05","Merseyside Police","Merseyside Police",-2.899727,53.487732,"On or near Deerbolt Way","E01006456","Knowsley 002B","Shoplifting","Investigation complete; no suspect identified",NA
"4",117,"30e1c944f925b6cdbaa7fc8fc7eb3cb1f816434832d3861b7720945ebb6c30a1","2019-05","Merseyside Police","Merseyside Police",-2.899727,53.487732,"On or near Deerbolt Way","E01006456","Knowsley 002B","Shoplifting","Investigation complete; no suspect identified",NA
"5",140,"df41c23dbd20907cda3035445febc649ab9bfea4999c150ead0ef729f3f38f8a","2019-05","Merseyside Police","Merseyside Police",-2.892122,53.493056,"On or near Thirlmere Walk","E01006458","Knowsley 002D","Shoplifting","Unable to prosecute suspect",NA
"6",240,"fdd592bbefa54b6e518e236500545233ebdcc14524a20cfea0149f54ee48bca7","2019-05","Merseyside Police","Merseyside Police",-2.886667,53.482256,"On or near North Parade","E01006437","Knowsley 003D","Shoplifting","Court result unavailable",NA
"7",241,"fdb4b3ca61021d78b26c8d0f4cde0e86cb0b870a73467c8335d9cfc9410ee472","2019-05","Merseyside Police","Merseyside Police",-2.889294,53.482524,"On or near Norwich Way","E01006437","Knowsley 003D","Shoplifting","Unable to prosecute suspect",NA
"8",242,"f1c453c1ed762f05a6532d0701f0111b0f7162a0829b8b6f1f64143adef53454","2019-05","Merseyside Police","Merseyside Police",-2.889294,53.482524,"On or near Norwich Way","E01006437","Knowsley 003D","Shoplifting","Court result unavailable",NA
"9",243,"a7fa1b3e58ab768dca4966808ec86d19ddcbcc69897a2234e083d277678d8cc2","2019-05","Merseyside Police","Merseyside Police",-2.889294,53.482524,"On or near Norwich Way","E01006437","Knowsley 003D","Shoplifting","Investigation complete; no suspect identified",NA
"10",244,"1de86e7bd6833b09b30e7ea2ae805483dd9f5d2aa70a0a9b005a906efc39adf1","2019-05","Merseyside Police","Merseyside Police",-2.889294,53.482524,"On or near Norwich Way","E01006437","Knowsley 003D","Shoplifting","Offender given penalty notice",NA
"11",245,"c4c28af87412142cfc721616fc29e553b87e0e4c97cc2a2927afa4d788199d60","2019-05","Merseyside Police","Merseyside Police",-2.886667,53.482256,"On or near North Parade","E01006437","Knowsley 003D","Shoplifting","Investigation complete; no suspect identified",NA
"12",246,"6f3981086c975bb9eae71f81187c387357fca9f3a44117fbb2ca93703bdf40c0","2019-05","Merseyside Police","Merseyside Police",-2.889294,53.482524,"On or near Norwich Way","E01006437","Knowsley 003D","Shoplifting","Court result unavailable",NA
"13",247,"116c0cfe11364a427d266b418b91b286d82d0a3eeb75c75818ed8ba5b36433d1","2019-05","Merseyside Police","Merseyside Police",-2.886667,53.482256,"On or near North Parade","E01006437","Knowsley 003D","Shoplifting","Investigation complete; no suspect identified",NA
"14",346,"b4fcc05c838151236536263a95513043321584e8fd02b50ce39554dab9d33ce4","2019-05","Merseyside Police","Merseyside Police",-2.918696,53.470023,"On or near Petrol Station","E01006510","Knowsley 004F","Shoplifting","Investigation complete; no suspect identified",NA
"15",461,"395ba42a767529128bbca7c31f1296743e947f5309dc8a703edb5ce6e1defc0a","2019-05","Merseyside Police","Merseyside Police",-2.868037,53.434815,"On or near Leach Croft","E01006414","Knowsley 006C","Shoplifting","Investigation complete; no suspect identified",NA
"16",504,"970c2577ddf152df03c0cbcf6116a55acba5c3c6c3957cfdeb70e57c05efa1f5","2019-05","Merseyside Police","Merseyside Police",-2.802717,53.422472,"On or near Hall Lane","E01006460","Knowsley 007A","Shoplifting","Investigation complete; no suspect identified",NA
"17",505,"5fbef22126c8c88771694be71b34c73a4d53314cb55dc38fe691c325caeff9ef","2019-05","Merseyside Police","Merseyside Police",-2.802717,53.422472,"On or near Hall Lane","E01006460","Knowsley 007A","Shoplifting","Unable to prosecute suspect",NA
"18",555,"1ae1fcdf2c8c81228c77c8562056b27fd93d0edcbeddb66ac4a90828e97280d0","2019-05","Merseyside Police","Merseyside Police",-2.803172,53.429849,"On or near Atherton Street","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
"19",556,"479e27d60276b4f016adb0270c5d51ccc56ad87b473c8f408f81c17758c177fd","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Court result unavailable",NA
"20",557,"0ea5f79c287266959168e241898727389926785047f8fce43ddc99603469cdca","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
"21",558,"511e5c1825bffac2480293d791555d6bae5c2b6972340d4a1b888d36881d5333","2019-05","Merseyside Police","Merseyside Police",-2.803138,53.426443,"On or near Supermarket","E01006463","Knowsley 007C","Shoplifting","Offender sent to prison",NA
"22",559,"42ef0b4904a1e6df954a65fb80d1351688ae9c5e0d8f2f09ba13a182e953f91a","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Unable to prosecute suspect",NA
"23",560,"cbe9898616d773225be33ce00547180b6cb809dac2b2ccf0d85e84f12c4478bd","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
"24",561,"8ba61e48b9754c4120d0de9f62a12c2bae34b5e75041bf40ef2d8987cab61583","2019-05","Merseyside Police","Merseyside Police",-2.803138,53.426443,"On or near Supermarket","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
"25",562,"c5446adb9c5b3e739343f2f17344c266807b098cecffad9a3eb6980b26a9006e","2019-05","Merseyside Police","Merseyside Police",-2.803138,53.426443,"On or near Supermarket","E01006463","Knowsley 007C","Shoplifting","Court result unavailable",NA
"26",563,"1adf2b66c9b9ca0595608e29bfbd115c9b465b3714d42b4c7462cd924bc8dac5","2019-05","Merseyside Police","Merseyside Police",-2.801459,53.426769,"On or near Shopping Area","E01006463","Knowsley 007C","Shoplifting","Investigation complete; no suspect identified",NA
