"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"1","Person and Vehicle search",2019-06-01 00:30:00,FALSE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning",TRUE,FALSE,"E08000003E02001050E01005205","Manchester 006B","E01005205"
"2","Person search",2019-06-01 00:50:00,FALSE,NA,"Male","18-24","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Summons / charged by post",TRUE,FALSE,"E08000003E02006912E01033654","Manchester 055C","E01033654"
"3","Person search",2019-06-01 00:50:00,FALSE,NA,"Male","18-24","White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest",TRUE,FALSE,"E08000003E02001076E01005283","Manchester 032E","E01005283"
"4","Person search",2019-06-01 00:50:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Summons / charged by post",TRUE,FALSE,"E08000003E02006912E01033654","Manchester 055C","E01033654"
"5","Person search",2019-06-01 01:30:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British",NA,"Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02001082E01005277","Manchester 038D","E01005277"
"6","Person search",2019-06-01 01:30:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British",NA,"Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02001082E01005277","Manchester 038D","E01005277"
"7","Person search",2019-06-01 01:30:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British",NA,"Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02001082E01005277","Manchester 038D","E01005277"
"8","Person search",2019-06-01 08:00:00,TRUE,NA,"Male",NA,"Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"9","Person search",2019-06-01 08:03:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"10","Person search",2019-06-01 08:03:00,TRUE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
